iter	RMSE
0	390.5084051
1	387.4013356
2	384.4444656
3	381.631389
4	378.9559838
5	376.4122415
6	373.9944809
7	371.6970516
8	369.5146142
9	367.4419398
10	365.4740178
11	363.6060058
12	361.8333189
13	360.1514533
14	358.5560711
15	357.0431229
16	355.6086115
17	354.248747
18	352.95985
19	351.7384891
20	350.581346
21	349.4851501
22	348.4469063
23	347.4637012
24	346.5327463
25	345.6514027
26	344.8171308
27	344.0274958
28	343.2802089
29	342.5731138
30	341.9040778
31	341.2711074
32	340.6723707
33	340.1060497
34	339.570456
35	339.0639195
36	338.5849227
37	338.1319897
38	337.7037822
39	337.2989112
40	336.9161858
41	336.5544047
42	336.212415
43	335.8892078
44	335.5837101
45	335.2949756
46	335.0221098
47	334.7642702
48	334.5206099
49	334.2903733
50	334.0728395
51	333.8672843
52	333.6730571
53	333.4895815
54	333.3162406
55	333.152434
56	332.9977523
57	332.8515722
58	332.7135197
59	332.5831034
60	332.4599079
61	332.3435169
62	332.2336093
63	332.1297668
64	332.0317053
65	331.9390822
66	331.851593
67	331.768971
68	331.6909299
69	331.6171828
70	331.5475779
71	331.4818469
72	331.4197019
73	331.3610869
74	331.3056941
75	331.2533894
76	331.2040002
77	331.1573341
78	331.1132761
79	331.0716915
80	331.0323877
81	330.9952878
82	330.9602571
83	330.9271411
84	330.8958824
85	330.8663844
86	330.8385314
87	330.8121881
88	330.7873549
89	330.7638575
90	330.7417158
91	330.7207748
92	330.7009959
93	330.68236
94	330.6647316
95	330.6481108
96	330.6323813
97	330.6175433
98	330.6035387
99	330.5902901
100	330.5778168
101	330.5659833
102	330.5548478
103	330.5443327
104	330.5343994
105	330.5250284
106	330.5161422
107	330.5077796
108	330.4999019
109	330.4924315
110	330.4853879
111	330.4787515
112	330.4724644
113	330.4665264
114	330.4609376
115	330.4556398
116	330.4506524
117	330.4459366
118	330.4414925
119	330.4372812
120	330.4333027
121	330.4295571
122	330.4260249
123	330.4226867
124	330.4195232
125	330.4165344
126	330.4137201
127	330.4110806
128	330.4085768
129	330.4061896
130	330.4039381
131	330.4018419
132	330.3998234
133	330.3979795
134	330.3961938
135	330.3944858
136	330.3929136
137	330.391419
138	330.3900021
139	330.3886628
140	330.3874206
141	330.3862172
142	330.3851108
143	330.3840238
144	330.3830339
145	330.3820828
146	330.3811705
147	330.3803553
148	330.3795595
149	330.3788024
150	330.3781037
151	330.3774049
152	330.3767837
153	330.376182
154	330.3756385
155	330.375095
156	330.3745903
157	330.3741051
158	330.3736586
159	330.373251
160	330.3728434
161	330.3724746
162	330.3720863
163	330.3717564
164	330.3714652
165	330.3711546
166	330.370844
167	330.3705723
168	330.3703394
169	330.3701064
170	330.3698735
171	330.3696406
172	330.3694464
173	330.3692523
174	330.3690776
175	330.3689223
176	330.3687671
177	330.3686118
178	330.3684759
179	330.36834
180	330.3682235
181	330.3680877
182	330.3679712
183	330.3678547
184	330.3677383
185	330.36768
186	330.3675636
187	330.3675053
188	330.3674277
189	330.3673306
190	330.3672724
191	330.3671947
192	330.3671559
193	330.3670783
194	330.36702
195	330.3669424
196	330.3669036
197	330.3668453
198	330.3668065
199	330.3667871
200	330.3667289
201	330.3666901
202	330.3666706
203	330.3666124
204	330.3665736
205	330.3665542
206	330.3665348
207	330.3665154
208	330.3664765
209	330.3664377
210	330.3664377
211	330.3664183
212	330.3663989
213	330.3663601
214	330.3663407
215	330.3663601
216	330.3663212
217	330.3663212
218	330.3662824
219	330.3663018
220	330.366263
221	330.366263
222	330.3662436
223	330.3662242
224	330.3662436
225	330.3661854
226	330.3662048
227	330.3662048
228	330.3661854
229	330.3661854
230	330.3661854
231	330.366166
232	330.366166
233	330.366166
234	330.3661465
235	330.3661465
236	330.3661271
237	330.3661077
238	330.3661271
239	330.3661271
240	330.3661271
241	330.3661077
242	330.3661077
243	330.3660883
244	330.3661077
245	330.3661077
246	330.3660883
247	330.3660883
248	330.3660883
249	330.3660883
250	330.3660689
251	330.3660883
252	330.3660883
253	330.3660883
254	330.3660689
255	330.3660689
256	330.3660689
257	330.3660689
258	330.3660495
259	330.3660689
260	330.3660883
261	330.3660883
262	330.3660495
263	330.3660495
264	330.3660689
265	330.3660495
266	330.3660689
267	330.3660689
268	330.3660689
269	330.3660689
270	330.3660495
271	330.3660301
272	330.3660689
273	330.3660495
274	330.3660689
275	330.3660495
276	330.3660495
277	330.3660689
278	330.3660689
279	330.3660301
280	330.3660301
281	330.3660689
282	330.3660495
283	330.3660301
284	330.3660495
285	330.3660495
286	330.3660495
287	330.3660689
288	330.3660301
289	330.3660495
290	330.3660495
291	330.3660495
292	330.3660689
293	330.3660495
294	330.3660495
295	330.3660495
296	330.3660689
297	330.3660495
298	330.3660689
299	330.3660689
300	330.3660495
301	330.3660301
302	330.3660689
303	330.3660495
304	330.3660495
305	330.3660495
306	330.3660301
307	330.3660689
308	330.3660689
309	330.3660495
310	330.3660495
311	330.3660301
312	330.3660495
313	330.3660495
314	330.3660301
315	330.3660495
316	330.3660495
317	330.3660301
318	330.3660301
319	330.3660301
320	330.3660495
321	330.3660301
322	330.3660301
323	330.3660301
324	330.3660495
325	330.3660495
326	330.3660301
327	330.3660495
328	330.3660301
329	330.3660301
330	330.3660301
331	330.3660495
332	330.3660495
333	330.3660301
334	330.3660301
335	330.3660495
336	330.3660495
337	330.3660689
338	330.3660689
339	330.3660689
340	330.3660689
341	330.3660495
342	330.3660301
343	330.3660301
344	330.3660301
345	330.3660495
346	330.3660495
347	330.3660495
348	330.3660495
349	330.3660301
350	330.3660301
351	330.3660495
352	330.3660495
353	330.3660495
354	330.3660689
355	330.3660689
356	330.3660495
357	330.3660689
358	330.3660495
359	330.3660495
360	330.3660495
361	330.3660495
362	330.3660495
363	330.3660495
364	330.3660301
365	330.3660495
366	330.3660495
367	330.3660495
368	330.3660495
369	330.3660495
370	330.3660495
371	330.3660689
372	330.3660495
373	330.3660495
374	330.3660495
375	330.3660495
376	330.3660495
377	330.3660495
378	330.3660495
379	330.3660495
380	330.3660689
381	330.3660495
382	330.3660495
383	330.3660689
384	330.3660495
385	330.3660495
386	330.3660495
387	330.3660495
388	330.3660301
389	330.3660301
390	330.3660495
391	330.3660301
392	330.3660301
393	330.3660495
394	330.3660301
395	330.3660495
396	330.3660495
397	330.3660495
398	330.3660301
399	330.3660107
400	330.3660301
401	330.3660495
402	330.3660301
403	330.3660495
404	330.3660495
405	330.3660495
406	330.3660301
407	330.3660495
408	330.3660495
409	330.3660495
410	330.3660495
411	330.3660495
412	330.3660301
413	330.3660301
414	330.3660495
415	330.3660495
416	330.3660301
417	330.3660301
418	330.3660301
419	330.3660495
420	330.3660301
421	330.3660301
422	330.3660495
423	330.3660689
424	330.3660495
425	330.3660495
426	330.3660495
427	330.3660495
428	330.3660495
429	330.3660495
430	330.3660495
431	330.3660689
432	330.3660495
433	330.3660495
434	330.3660495
435	330.3660495
436	330.3660495
437	330.3660495
438	330.3660495
439	330.3660689
440	330.3660495
441	330.3660495
442	330.3660495
443	330.3660495
444	330.3660495
445	330.3660495
446	330.3660495
447	330.3660495
448	330.3660495
449	330.3660495
450	330.3660495
451	330.3660495
452	330.3660495
453	330.3660495
454	330.3660495
455	330.3660495
456	330.3660495
457	330.3660495
458	330.3660495
459	330.3660495
460	330.3660495
461	330.3660495
462	330.3660495
463	330.3660495
464	330.3660495
465	330.3660495
466	330.3660495
467	330.3660495
468	330.3660495
469	330.3660495
470	330.3660495
471	330.3660495
472	330.3660495
473	330.3660495
474	330.3660495
475	330.3660495
476	330.3660495
477	330.3660495
478	330.3660495
479	330.3660495
480	330.3660495
481	330.3660495
482	330.3660495
483	330.3660495
484	330.3660495
485	330.3660495
486	330.3660495
487	330.3660495
488	330.3660495
489	330.3660495
490	330.3660495
491	330.3660495
492	330.3660495
493	330.3660495
494	330.3660495
495	330.3660495
496	330.3660495
497	330.3660495
498	330.3660495
499	330.3660495
500	330.3660495
501	330.3660495
502	330.3660495
503	330.3660495
504	330.3660495
505	330.3660495
506	330.3660495
507	330.3660495
508	330.3660495
509	330.3660495
510	330.3660495
511	330.3660495
512	330.3660495
513	330.3660495
514	330.3660495
515	330.3660495
516	330.3660495
517	330.3660495
518	330.3660495
519	330.3660495
520	330.3660495
521	330.3660495
522	330.3660495
523	330.3660495
524	330.3660495
525	330.3660495
526	330.3660495
527	330.3660495
528	330.3660495
529	330.3660495
530	330.3660495
531	330.3660495
532	330.3660495
533	330.3660495
534	330.3660495
535	330.3660495
536	330.3660495
537	330.3660495
538	330.3660495
539	330.3660495
540	330.3660495
541	330.3660495
542	330.3660495
543	330.3660495
544	330.3660495
545	330.3660495
546	330.3660495
547	330.3660495
548	330.3660495
549	330.3660495
550	330.3660495
551	330.3660495
552	330.3660495
553	330.3660495
554	330.3660495
555	330.3660495
556	330.3660495
557	330.3660495
558	330.3660495
559	330.3660495
560	330.3660495
561	330.3660495
562	330.3660495
563	330.3660495
564	330.3660495
565	330.3660495
566	330.3660495
567	330.3660495
568	330.3660495
569	330.3660495
570	330.3660495
571	330.3660495
572	330.3660495
573	330.3660495
574	330.3660495
575	330.3660495
576	330.3660495
577	330.3660495
578	330.3660495
579	330.3660495
580	330.3660495
581	330.3660495
582	330.3660495
583	330.3660495
584	330.3660495
585	330.3660495
586	330.3660495
587	330.3660495
588	330.3660495
589	330.3660495
590	330.3660495
591	330.3660495
592	330.3660495
593	330.3660495
594	330.3660495
595	330.3660495
596	330.3660495
597	330.3660495
598	330.3660495
599	330.3660495
600	330.3660495
601	330.3660495
602	330.3660495
603	330.3660495
604	330.3660495
605	330.3660495
606	330.3660495
607	330.3660495
608	330.3660495
609	330.3660495
610	330.3660495
611	330.3660495
612	330.3660495
613	330.3660495
614	330.3660495
615	330.3660495
616	330.3660495
617	330.3660495
