iter	Passed	Remaining
0	36	47046
1	75	48368
2	113	48701
3	149	48097
4	187	48023
5	234	50038
6	273	50161
7	310	49699
8	346	49320
9	384	49208
10	419	48695
11	455	48466
12	492	48312
13	527	48058
14	563	47836
15	605	48163
16	641	48023
17	677	47804
18	712	47592
19	748	47503
20	784	47370
21	820	47241
22	857	47217
23	893	47088
24	928	46965
25	965	46901
26	1004	46935
27	1041	46882
28	1078	46859
29	1117	46892
30	1153	46824
31	1190	46766
32	1231	46889
33	1272	46987
34	1312	47034
35	1350	47019
36	1387	46955
37	1424	46897
38	1460	46817
39	1498	46780
40	1534	46717
41	1571	46668
42	1610	46658
43	1649	46681
44	1688	46688
45	1724	46606
46	1760	46524
47	1796	46453
48	1832	46380
49	1869	46326
50	1904	46239
51	1940	46158
52	1978	46131
53	2013	46053
54	2049	45973
55	2085	45925
56	2122	45867
57	2157	45784
58	2195	45765
59	2233	45740
60	2268	45673
61	2303	45591
62	2342	45585
63	2375	45470
64	2410	45384
65	2445	45317
66	2481	45254
67	2516	45183
68	2551	45115
69	2594	45175
70	2629	45111
71	2664	45031
72	2700	44982
73	2736	44931
74	2771	44855
75	2805	44782
76	2840	44704
77	2875	44647
78	2910	44577
79	2945	44508
80	2982	44479
81	3017	44413
82	3051	44342
83	3088	44310
84	3124	44254
85	3161	44229
86	3197	44180
87	3233	44128
88	3266	44043
89	3302	43991
90	3338	43952
91	3373	43893
92	3408	43834
93	3443	43778
94	3482	43763
95	3516	43695
96	3551	43641
97	3606	43833
98	3641	43776
99	3679	43745
100	3715	43702
101	3751	43652
102	3785	43587
103	3820	43529
104	3856	43490
105	3892	43443
106	3926	43372
107	3961	43324
108	3996	43264
109	4029	43189
110	4063	43124
111	4099	43086
112	4138	43071
113	4173	43017
114	4208	42960
115	4244	42916
116	4280	42875
117	4314	42818
118	4351	42788
119	4393	42802
120	4428	42744
121	4464	42701
122	4497	42633
123	4534	42597
124	4573	42586
125	4619	42637
126	4655	42597
127	4689	42538
128	4727	42506
129	4761	42449
130	4796	42399
131	4838	42405
132	4873	42356
133	4911	42332
134	4950	42318
135	4989	42300
136	5025	42261
137	5062	42224
138	5100	42201
139	5138	42174
140	5177	42151
141	5216	42137
142	5254	42113
143	5291	42072
144	5335	42097
145	5373	42066
146	5411	42040
147	5449	42015
148	5486	41974
149	5524	41947
150	5558	41893
151	5600	41894
152	5637	41858
153	5674	41823
154	5714	41810
155	5751	41772
156	5788	41738
157	5824	41694
158	5864	41678
159	5901	41645
160	5938	41605
161	5978	41592
162	6016	41564
163	6051	41514
164	6090	41486
165	6126	41447
166	6163	41409
167	6202	41385
168	6238	41341
169	6274	41299
170	6313	41274
171	6350	41243
172	6387	41204
173	6428	41193
174	6465	41157
175	6503	41127
176	6539	41084
177	6577	41053
178	6617	41036
179	6654	40996
180	6694	40979
181	6729	40934
182	6765	40887
183	6803	40859
184	6840	40818
185	6875	40772
186	6912	40733
187	6952	40719
188	6988	40674
189	7023	40627
190	7061	40592
191	7099	40565
192	7136	40525
193	7171	40475
194	7209	40447
195	7246	40411
196	7282	40366
197	7319	40333
198	7355	40291
199	7392	40252
200	7430	40220
201	7469	40196
202	7507	40160
203	7543	40122
204	7582	40095
205	7621	40067
206	7659	40034
207	7698	40009
208	7735	39972
209	7773	39941
210	7812	39915
211	7851	39887
212	7888	39849
213	7929	39832
214	7967	39798
215	8007	39777
216	8042	39729
217	8078	39686
218	8114	39643
219	8151	39609
220	8196	39611
221	8233	39574
222	8271	39540
223	8310	39512
224	8348	39479
225	8384	39436
226	8425	39418
227	8462	39382
228	8501	39350
229	8541	39327
230	8578	39289
231	8613	39243
232	8650	39204
233	8688	39172
234	8724	39132
235	8761	39090
236	8797	39052
237	8833	39010
238	8869	38968
239	8906	38930
240	8944	38895
241	8981	38858
242	9018	38820
243	9058	38797
244	9096	38762
245	9133	38726
246	9173	38699
247	9211	38667
248	9252	38646
249	9293	38623
250	9330	38586
251	9366	38544
252	9402	38500
253	9439	38465
254	9475	38423
255	9510	38376
256	9549	38347
257	9587	38311
258	9623	38269
259	9660	38234
260	9696	38193
261	9732	38150
262	9769	38113
263	9807	38076
264	9841	38030
265	9877	37988
266	9913	37946
267	9951	37911
268	9985	37865
269	10022	37826
270	10062	37799
271	10100	37764
272	10135	37720
273	10173	37686
274	10219	37682
275	10262	37666
276	10300	37632
277	10337	37593
278	10376	37562
279	10417	37539
280	10454	37500
281	10492	37469
282	10530	37434
283	10568	37399
284	10612	37384
285	10650	37351
286	10689	37318
287	10727	37285
288	10769	37264
289	10809	37236
290	10846	37197
291	10884	37163
292	10923	37131
293	10961	37096
294	11005	37081
295	11046	37057
296	11081	37012
297	11114	36962
298	11151	36922
299	11212	36964
300	11247	36919
301	11284	36880
302	11323	36846
303	11359	36805
304	11394	36761
305	11431	36721
306	11468	36683
307	11507	36652
308	11554	36644
309	11588	36597
310	11622	36549
311	11656	36501
312	11692	36460
313	11728	36419
314	11768	36390
315	11804	36347
316	11838	36299
317	11871	36250
318	11908	36209
319	11947	36177
320	11983	36137
321	12021	36100
322	12058	36063
323	12096	36026
324	12131	35985
325	12170	35952
326	12216	35940
327	12256	35911
328	12298	35884
329	12340	35862
330	12400	35890
331	12451	35890
332	12492	35864
333	12539	35854
334	12582	35832
335	12620	35796
336	12657	35757
337	12698	35729
338	12742	35708
339	12784	35683
340	12828	35663
341	12869	35636
342	12910	35606
343	12951	35579
344	12993	35553
345	13036	35529
346	13081	35511
347	13121	35482
348	13171	35476
349	13214	35451
350	13253	35419
351	13298	35399
352	13340	35372
353	13380	35341
354	13427	35327
355	13467	35296
356	13511	35272
357	13556	35255
358	13604	35242
359	13647	35218
360	13691	35195
361	13731	35164
362	13770	35127
363	13816	35110
364	13871	35116
365	13919	35101
366	13959	35069
367	13999	35037
368	14042	35011
369	14084	34981
370	14124	34949
371	14165	34918
372	14207	34889
373	14247	34856
374	14290	34831
375	14336	34810
376	14378	34783
377	14424	34763
378	14466	34735
379	14507	34704
380	14550	34677
381	14589	34641
382	14630	34608
383	14667	34567
384	14706	34530
385	14743	34489
386	14780	34449
387	14816	34407
388	14857	34373
389	14895	34336
390	14933	34298
391	14970	34257
392	15009	34221
393	15048	34184
394	15085	34142
395	15122	34101
396	15159	34061
397	15195	34018
398	15233	33979
399	15272	33942
400	15310	33905
401	15347	33864
402	15387	33828
403	15425	33791
404	15463	33752
405	15500	33711
406	15538	33673
407	15574	33631
408	15611	33589
409	15648	33549
410	15686	33509
411	15723	33469
412	15759	33426
413	15799	33392
414	15835	33349
415	15870	33304
416	15909	33269
417	15946	33227
418	15985	33191
419	16024	33155
420	16064	33120
421	16102	33082
422	16137	33038
423	16176	33000
424	16212	32958
425	16247	32913
426	16284	32874
427	16321	32833
428	16357	32791
429	16395	32753
430	16434	32717
431	16473	32680
432	16510	32638
433	16549	32602
434	16585	32560
435	16620	32517
436	16658	32478
437	16694	32435
438	16731	32395
439	16770	32360
440	16808	32321
441	16844	32278
442	16883	32242
443	16920	32201
444	16955	32159
445	16991	32116
446	17027	32073
447	17064	32033
448	17102	31995
449	17139	31955
450	17179	31920
451	17216	31881
452	17251	31837
453	17291	31802
454	17342	31788
455	17380	31749
456	17422	31718
457	17457	31675
458	17492	31630
459	17529	31590
460	17565	31548
461	17601	31506
462	17639	31469
463	17677	31430
464	17714	31391
465	17754	31355
466	17792	31318
467	17830	31280
468	17866	31238
469	17904	31200
470	17943	31163
471	17985	31131
472	18024	31095
473	18059	31052
474	18096	31012
475	18133	30972
476	18170	30932
477	18207	30891
478	18244	30851
479	18282	30813
480	18319	30774
481	18355	30732
482	18394	30695
483	18431	30656
484	18466	30613
485	18502	30570
486	18539	30531
487	18576	30491
488	18614	30453
489	18660	30428
490	18696	30387
491	18733	30347
492	18773	30312
493	18808	30268
494	18843	30226
495	18881	30186
496	18920	30150
497	18955	30108
498	18990	30065
499	19027	30025
500	19070	29995
501	19107	29955
502	19147	29920
503	19190	29889
504	19225	29847
505	19264	29810
506	19302	29772
507	19338	29730
508	19373	29687
509	19410	29648
510	19448	29610
511	19485	29570
512	19523	29532
513	19559	29492
514	19596	29452
515	19634	29413
516	19670	29372
517	19707	29332
518	19743	29291
519	19783	29256
520	19819	29215
521	19855	29174
522	19891	29134
523	19930	29096
524	19965	29054
525	20002	29015
526	20039	28975
527	20076	28935
528	20112	28895
529	20168	28882
530	20202	28839
531	20237	28796
532	20275	28758
533	20311	28717
534	20357	28690
535	20395	28652
536	20430	28610
537	20466	28568
538	20500	28526
539	20535	28483
540	20569	28440
541	20606	28400
542	20658	28381
543	20694	28340
544	20727	28296
545	20762	28253
546	20798	28212
547	20832	28168
548	20867	28127
549	20904	28087
550	20938	28044
551	20972	28001
552	21008	27961
553	21042	27917
554	21075	27872
555	21110	27830
556	21147	27792
557	21182	27749
558	21219	27710
559	21253	27667
560	21286	27623
561	21320	27580
562	21361	27546
563	21401	27510
564	21434	27466
565	21470	27426
566	21507	27387
567	21544	27348
568	21582	27309
569	21620	27271
570	21656	27232
571	21699	27200
572	21751	27179
573	21789	27141
574	21827	27104
575	21873	27075
576	21917	27045
577	21952	27004
578	21986	26960
579	22021	26919
580	22054	26875
581	22089	26834
582	22134	26804
583	22167	26760
584	22200	26716
585	22235	26674
586	22274	26638
587	22311	26598
588	22347	26559
589	22391	26527
590	22427	26488
591	22463	26447
592	22498	26406
593	22534	26366
594	22569	26324
595	22605	26284
596	22642	26245
597	22677	26204
598	22712	26163
599	22748	26123
600	22789	26088
601	22826	26049
602	22861	26008
603	22899	25969
604	22934	25929
605	22971	25890
