feature,importance
tobit_latent_estimate,3246
hist_cv,2876
trend_slope,2347
hurdle_conditional_volume,2244
Latitude,2179
yoy_growth_rate,2145
Longitude,2114
hurdle_estimate,2076
competitors_2km,1366
worship_gravity_score,1216
active_months,1209
school_gravity_score,1072
active_months_pct,1000
raw_composite_gravity,901
hospitality_gravity_score,797
micro_market_id,709
transport_gravity_score,700
composite_gravity_score,637
competitors_1km,632
cluster_outlet_count,619
hospital_gravity_score,511
seasonality_multiplier_jan_2026,462
market_gravity_score,454
competitors_500m,432
months_since_last_order,410
jan_count,376
competition_density_score,362
Cooler_Count,347
Outlet_Size,297
Outlet_Type,297
consecutive_zero_months_max,258
cooler_capacity_litres,196
market_saturation_class,146
theoretical_monthly_ceiling,116
province,46
size_imputed,3
coords_swapped,2
gravity_data_available,0
poi_data_available,0
is_spatial_outlier,0
p_active,0
