feature,importance
hurdle_estimate,0.2959343595784196
hurdle_conditional_volume,0.272420003743187
tobit_latent_estimate,0.19427506604132452
Outlet_Size,0.09228616609717137
hist_cv,0.06473097795492587
active_months_pct,0.026946800797912868
active_months,0.022586146107258308
consecutive_zero_months_max,0.011786967622357468
Cooler_Count,0.0035873347643968156
theoretical_monthly_ceiling,0.00341004976364379
Latitude,0.0033145404295437404
seasonality_multiplier_jan_2026,0.003188869142359657
cooler_capacity_litres,0.001954901350611817
micro_market_id,0.0011582544225011535
Longitude,0.0006025863153691642
jan_count,0.0004416281171672898
province,0.0003614947823437071
trend_slope,0.0001712995301432912
yoy_growth_rate,0.00014709368245879498
cluster_outlet_count,9.316657595751822e-05
competitors_2km,8.063189751378143e-05
size_imputed,5.501847089583426e-05
worship_gravity_score,5.280095816359685e-05
hospitality_gravity_score,5.200131930311005e-05
school_gravity_score,4.458745610480059e-05
months_since_last_order,4.313394750574726e-05
competitors_1km,4.2528126089824376e-05
raw_composite_gravity,4.114407461253617e-05
competition_density_score,3.412907212109652e-05
composite_gravity_score,3.094125470540713e-05
market_gravity_score,2.8047954206676504e-05
transport_gravity_score,2.37418145295902e-05
Outlet_Type,2.2844194873710268e-05
competitors_500m,2.1990456106179878e-05
hospital_gravity_score,1.4856451641820967e-05
market_saturation_class,1.261335434533789e-05
is_spatial_outlier,1.2350527612754328e-06
coords_swapped,4.7325465924614887e-08
poi_data_available,0.0
gravity_data_available,0.0
p_active,0.0
