feature,importance
hurdle_conditional_volume,0.47940508
hurdle_estimate,0.37947306
Outlet_Size,0.06557383
seasonality_multiplier_jan_2026,0.03718
tobit_latent_estimate,0.022034328
Latitude,0.0025024486
hist_cv,0.0015982982
province,0.0012663812
active_months,0.0009444283
yoy_growth_rate,0.00083567924
active_months_pct,0.00079690834
micro_market_id,0.0007610328
cluster_outlet_count,0.0006000048
Longitude,0.00057628076
jan_count,0.000537871
months_since_last_order,0.00047892678
transport_gravity_score,0.0004190086
trend_slope,0.00041556128
raw_composite_gravity,0.00038867266
hospitality_gravity_score,0.00032629792
competition_density_score,0.00032201523
competitors_1km,0.0003127856
market_gravity_score,0.000310679
worship_gravity_score,0.00028166734
composite_gravity_score,0.00028044573
school_gravity_score,0.00026922039
competitors_500m,0.00026325596
Outlet_Type,0.0002212428
market_saturation_class,0.00019842108
competitors_2km,0.00019666196
cooler_capacity_litres,0.00019280451
theoretical_monthly_ceiling,0.00018188014
hospital_gravity_score,0.00017533301
consecutive_zero_months_max,0.00017034482
Cooler_Count,0.00016126526
coords_swapped,0.00013557254
is_spatial_outlier,0.00011045906
size_imputed,0.00010189159
poi_data_available,0.0
gravity_data_available,0.0
p_active,0.0
