run_id,timestamp,algorithm,strategy,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,n_features,n_train_samples,excluded_features,notes,gpu,duration_s
run_20260531_015044_catboost_round1_baseline,2026-05-31 01:53:56,catboost,round1_baseline,328.9980,5.3588,186.3859,2.7731,55,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume,Reference: R1 features on updated master_features,True,191.8
run_20260531_015512_catboost_strategyA,2026-05-31 01:57:53,catboost,strategyA,328.9980,5.3588,186.3859,2.7731,51,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m,"Strategy A: no leak features, CatBoost GPU",True,161.6
run_20260531_020043_xgboost_strategyA,2026-05-31 02:01:16,xgboost,strategyA,41.8160,2.4991,22.1526,0.3610,51,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m,XGBoost GPU comparison,True,32.9
run_20260531_020507_lightgbm_strategyA,2026-05-31 02:05:32,lightgbm,strategyA,43.5016,3.4001,23.3259,0.4161,51,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m,LightGBM GPU comparison,False,25.0
run_20260531_020734_xgboost_strategyC,2026-05-31 02:08:09,xgboost,strategyC,41.7850,2.3608,22.1482,0.4014,55,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m,Strategy C: Feature Interactions with XGBoost,True,34.7
run_20260531_021014_xgboost_strategyA_gravity_only,2026-05-31 02:10:48,xgboost,strategyA_gravity_only,41.1365,2.8174,21.9837,0.3373,32,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,Ablation: Gravity features only (XGBoost),True,33.1
run_20260531_021302_xgboost_strategyA_flat_only,2026-05-31 02:13:36,xgboost,strategyA_flat_only,41.5447,2.6445,22.1544,0.4235,43,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|school_gravity_score|hospital_gravity_score|transport_gravity_score|market_gravity_score|worship_gravity_score|hospitality_gravity_score|composite_gravity_score|raw_composite_gravity,Ablation: Flat POI counts only (XGBoost),True,33.2
run_20260531_024553_xgboost_strategyC,2026-05-31 02:46:38,xgboost,strategyC,41.3272,2.3646,22.2170,0.3350,55,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m,Optuna re-tuned (50 trials),True,45.1
run_20260531_045449_lightgbm_strategyC,2026-05-31 04:55:13,lightgbm,strategyC,43.6434,3.0770,23.3000,0.4288,55,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m,Strategy C with LightGBM,False,24.3
run_20260531_045851_xgboost_strategyC_clean,2026-05-31 04:59:24,xgboost,strategyC_clean,42.6972,2.5830,22.3876,0.2961,51,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|size_imputed|coords_swapped|poi_data_available|gravity_data_available,"Strategy C, boolean noise removed, XGBoost",True,32.5
