Outlet_ID,province,uplift_gap_litres,composite_gravity_score,competition_density_score,roi_score,roi_rank,allocation_tier,recommended_spend_type,Trade_Spend_Allocation_LKR
OUT_03556,Western,796.1481000000001,52.78,30.3,13.425142721405754,1,High,Cooler Subsidy / Display Rack,2550.0
OUT_02351,Western,648.2816,51.25,39.39,8.225905422134192,2,High,Cooler Subsidy / Display Rack,2550.0
OUT_00039,Western,1290.7054,9.06,15.15,7.2407374142414875,3,High,Cooler Subsidy / Display Rack,2550.0
OUT_01997,Western,415.1145,42.65,24.24,7.014514035261491,4,High,Cooler Subsidy / Display Rack,2550.0
OUT_03577,Western,788.6100000000001,36.1,45.45,6.128917330462864,5,High,Cooler Subsidy / Display Rack,2550.0
OUT_05198,Western,692.903,35.18,39.39,6.0352383114632335,6,High,Cooler Subsidy / Display Rack,2550.0
OUT_01878,Western,504.5331,46.1,39.39,5.758597650408517,7,High,Cooler Subsidy / Display Rack,2550.0
OUT_00010,Western,1420.932,25.48,63.64,5.601074777227723,8,High,Cooler Subsidy / Display Rack,2550.0
OUT_02288,Western,246.95430000000002,100.0,45.45,5.316561894510226,9,High,Cooler Subsidy / Display Rack,2550.0
OUT_00026,Western,1225.0335,23.35,54.55,5.149330733573358,10,High,Cooler Subsidy / Display Rack,2550.0
OUT_08305,Western,519.066,37.63,42.42,4.498492303086136,11,High,Cooler Subsidy / Display Rack,2550.0
OUT_00399,Western,492.51130000000006,36.18,42.42,4.103882734684478,12,High,Cooler Subsidy / Display Rack,2550.0
OUT_00389,Western,526.5638,36.09,45.45,4.091213679655544,13,High,Cooler Subsidy / Display Rack,2550.0
OUT_00877,Western,410.91279999999995,41.16,42.42,3.8952489286043286,14,High,Cooler Subsidy / Display Rack,2550.0
OUT_00271,Western,400.8293,9.59,9.09,3.809665993062438,15,High,Cooler Subsidy / Display Rack,2550.0
OUT_04399,Western,476.8169,24.92,30.3,3.796254679872204,16,High,Cooler Subsidy / Display Rack,2550.0
OUT_04061,Western,471.5137,41.84,54.55,3.551419119351935,17,High,Cooler Subsidy / Display Rack,2550.0
OUT_05658,Western,499.86069999999995,30.77,42.42,3.5423108565177333,18,High,Cooler Subsidy / Display Rack,2550.0
OUT_03370,Western,252.9967,43.32,30.3,3.5015389916932906,19,High,Cooler Subsidy / Display Rack,2550.0
OUT_08992,Western,406.2115,31.75,36.36,3.4521453760706637,20,High,Cooler Subsidy / Display Rack,2550.0
OUT_08583,Western,685.0695000000001,20.23,39.39,3.4312839774696715,21,High,Cooler Subsidy / Display Rack,2550.0
OUT_06490,Western,511.47130000000004,18.95,27.27,3.428504115670322,22,High,Cooler Subsidy / Display Rack,2550.0
OUT_06340,Western,526.153,20.39,30.3,3.427559,23,High,Cooler Subsidy / Display Rack,2550.0
