Outlet_ID,province,uplift_gap_litres,composite_gravity_score,competition_density_score,roi_score,roi_rank,allocation_tier,recommended_spend_type,Trade_Spend_Allocation_LKR
OUT_03556,Western,796.1481000000001,52.78,30.3,13.425142721405754,1.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_02351,Western,648.2816,51.25,39.39,8.225905422134192,2.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00039,Western,1290.7054,9.06,15.15,7.2407374142414875,3.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_01997,Western,415.1145,42.65,24.24,7.014514035261491,4.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_03577,Western,788.6100000000001,36.1,45.45,6.128917330462864,5.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_05198,Western,692.903,35.18,39.39,6.0352383114632335,6.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_01878,Western,504.5331,46.1,39.39,5.758597650408517,7.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00010,Western,1420.932,25.48,63.64,5.601074777227723,8.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_02288,Western,246.95430000000002,100.0,45.45,5.316561894510226,9.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00026,Western,1225.0335,23.35,54.55,5.149330733573358,10.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_08305,Western,519.066,37.63,42.42,4.498492303086136,11.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00399,Western,492.51130000000006,36.18,42.42,4.103882734684478,12.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00389,Western,526.5638,36.09,45.45,4.091213679655544,13.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00877,Western,410.91279999999995,41.16,42.42,3.8952489286043286,14.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00271,Western,400.8293,9.59,9.09,3.809665993062438,15.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_04399,Western,476.8169,24.92,30.3,3.796254679872204,16.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_04061,Western,471.5137,41.84,54.55,3.551419119351935,17.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_05658,Western,499.86069999999995,30.77,42.42,3.5423108565177333,18.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_03370,Western,252.9967,43.32,30.3,3.5015389916932906,19.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_08992,Western,406.2115,31.75,36.36,3.4521453760706637,20.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_08583,Western,685.0695000000001,20.23,39.39,3.4312839774696715,21.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_06490,Western,511.47130000000004,18.95,27.27,3.428504115670322,22.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_06340,Western,526.153,20.39,30.3,3.427559,23.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_01877,Western,527.2464,18.24,27.27,3.401830327555712,24.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00246,Western,461.07030000000003,33.98,45.45,3.372910396986006,25.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_04606,Western,458.8053,36.07,48.48,3.3446053296281324,26.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_04062,Western,514.4664,34.26,54.55,3.1729286883888386,27.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_00579,Western,909.6816999999999,12.69,36.36,3.0898984938436826,28.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_07600,Western,540.1713,28.03,48.48,3.0600245632578815,29.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_08355,Western,496.8297,36.6,60.61,2.9514635643564353,30.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_03451,Western,567.116,25.41,48.48,2.912372182700081,31.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_06433,Western,294.7375,44.03,45.45,2.7938196178686763,32.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_08280,Western,483.7961,31.27,54.55,2.7233670651665167,33.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_08275,Western,557.8351,19.7,39.39,2.7208099702896757,34.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_05540,Western,473.5048,31.77,54.55,2.7080553548154813,35.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_02883,Western,733.184,17.05,45.45,2.691235134553283,36.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_03669,Western,495.9846,26.56,48.48,2.6623587259498787,37.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_04131,Western,629.5858,16.99,39.39,2.6483443282990837,38.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_02800,Western,255.94460000000004,44.37,42.42,2.6154449336711196,39.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_03932,Western,225.0152,21.9,18.18,2.569255933263816,40.0,High,Cooler Subsidy / Display Rack,2500.0
OUT_06884,Western,227.0369,35.24,30.3,2.556159858146965,41.0,High,Cooler Subsidy / Display Rack,2500.0
